category,categoryLabel,slug,store,town,region,phone,email,ownersRaw,website,tradesAs,sharedSiteWith,siteScore,siteTech,siteSnapshot,googleRating,googleReviews,facebook,fbFollowers,instagram,previewHost,stage,categoryReasons,notes
3,Decent website,fosters,STIHL SHOP Fosters,Christchurch,Southern,03 343 6339,fosters@stihlshop.co.nz,Tim Foster,https://stihlshopfosters.co.nz,,,69,WordPress,,4.5,198,https://www.facebook.com/stihlshopchristchurch,1389,https://www.instagram.com/fostersstihlshop/,fosters.preview.f925.works,,audit 69/100 on WordPress · slow load 7.0s · no opening hours found · 97 internal pages · substantial content · contact form,
3,Decent website,greymouth,STIHL SHOP Greymouth,Greymouth,Southern,03 768 0230,greymouth@stihlshop.co.nz,Bill and Shelley Caines,https://www.stihlshopgreymouth.com,,,57,Wix,,4.9,41,https://www.facebook.com/stihlshopgreymouth,324,https://www.instagram.com/stihlshopgreymouth/,greymouth.preview.f925.works,,audit 57/100 on Wix · no contact form · builder: Wix · hours shown · STIHL branding present · links to stihlshop.co.nz,
3,Decent website,nelson,STIHL SHOP Nelson,Nelson,Southern,03 548 0179,sales@nelsonstihlshop.co.nz,Isaac and Michelle Russell,https://www.nelsonstihlshop.co.nz,,,57,Joomla,,4.3,73,https://www.facebook.com/StihlShopNelson,1312,,nelson.preview.f925.works,,audit 57/100 on Joomla · slow load 9.1s · horizontal overflow on phone · no contact form · 13 internal pages · hours shown · map,
3,Decent website,richmond,STIHL SHOP Richmond,Richmond,Southern,03 544 6122,sales@stihlshoprichmond.co.nz,Grant Blanchet,https://stihlshoprichmond.nz,,,72,Shopify,,4.5,113,https://www.facebook.com/stihlshoprichmond,741,https://www.instagram.com/stihlshoprichmond/,richmond.preview.f925.works,,audit 72/100 on Shopify · contact form · hours shown · STIHL branding present,stihlshoprichmond.co.nz redirects here
3,Decent website,winton,STIHL SHOP Winton,Winton,Southern,03 236 8585,winton@stihlshop.co.nz,Sarah and Fraser Guise,https://www.stihlshopwinton.co.nz,,,77,Wix,,4.7,36,https://www.facebook.com/STIHLSHOPWinton,,https://www.instagram.com/stihlshopwinton/,winton.preview.f925.works,,audit 77/100 on Wix · builder: Wix · 21 internal pages · contact form · hours shown,
4,Multi-brand / shared site,levin,STIHL SHOP Levin,Levin,Central,06 367 9951,levin@stihlshop.co.nz,"Bevan Bisset, Ingrid De Graaf and Scott Newton",https://www.hondahoro.co.nz,City Honda Horowhenua,,60,Magento,2026-06-13,4.4,81,,,,levin.preview.f925.works,,trades as City Honda Horowhenua · their site scores 60/100,Trades as City Honda Horowhenua | City Honda Horowhenua site (geo-blocks non-NZ)
4,Multi-brand / shared site,pahiatua,STIHL SHOP Pahiatua,Pahiatua,Central,06 376 8829,bevan@bissethonda.co.nz,Bevan Bisset,https://www.bissethonda.co.nz,Bisset Honda,,60,Magento,2026-04-18,4.6,8,,,,pahiatua.preview.f925.works,,trades as Bisset Honda · their site scores 60/100,Trades as Bisset Honda
4,Multi-brand / shared site,stratford,STIHL SHOP Stratford,Stratford,Central,06 765 5202,stratford@stihlshop.co.nz,Hamish and Kate Scott,https://stihlshopnewplymouth.co.nz,,New Plymouth,62,Squarespace,,5,1,https://www.facebook.com/stihlshop.newplymouth,390,,stratford.preview.f925.works,,branch page on STIHL SHOP New Plymouth's site · their site scores 62/100,Shared site with New Plymouth
4,Multi-brand / shared site,te-aro,STIHL SHOP Te Aro,Te Aro,Central,04 298 2551,tearo@stihlshop.co.nz,Richard and Gina Lousley,https://ellmers.co.nz,Ellmers,,58,WordPress,,4.5,111,https://www.facebook.com/stihlshopta,1119,,te-aro.preview.f925.works,,trades as Ellmers · their site scores 58/100,Trades as STIHL SHOP Ellmers | Trades as Ellmers — multi-brand
4,Multi-brand / shared site,waipukurau,STIHL SHOP Waipukurau,Waipukurau,Central,06 858 9109,waipukurau@stihlshop.co.nz,Gareth Bloomfield,https://www.millshonda.co.nz,Mills Honda,,67,Custom / unknown,,4,15,https://www.facebook.com/Stihl-Shop-Waipukurau-1418340788409450,,https://www.instagram.com/millshonda_stihlshopwaipukurau/,waipukurau.preview.f925.works,,trades as Mills Honda · their site scores 67/100,Trades as Mills Honda; alt sales@millshonda.co.nz
4,Multi-brand / shared site,drury,STIHL SHOP Drury,Drury,Northern,09 294 8585,sales@downs.net.nz,Ross Warren,https://stihlshopdrury.co.nz,Downs,,36,Custom / unknown,,4.4,120,https://www.facebook.com/StihlShopDrury,1302,https://www.instagram.com/stihlshopdrury/,drury.preview.f925.works,,trades as Downs · their site scores 36/100,Trades as Downs
4,Multi-brand / shared site,morrinsville,STIHL SHOP McLaren Rural Services Limited,Morrinsville,Northern,07 889 6053,info@mclarensrural.co.nz,Tony McLaren,https://mclarensrural.co.nz,McLarens Rural Services,,74,WordPress,,5,2,https://www.facebook.com/STIHLSHOPMcLarensRural,,,morrinsville.preview.f925.works,,trades as McLarens Rural Services · their site scores 74/100,Email from search snippet - verify
4,Multi-brand / shared site,amberley,STIHL SHOP Amberley,Amberley,Southern,03 662 3004,info@turfforce.co.nz,Jim & Ryan Bassett,https://stihlshopamberley.co.nz,Turf Force,,87,WordPress (Elementor),,5,6,https://www.facebook.com/stihlshoppayneham,1522,,amberley.preview.f925.works,,trades as Turf Force · their site scores 87/100,Trades as Turf Force
4,Multi-brand / shared site,balclutha,STIHL SHOP Balclutha,Balclutha,Southern,03 418 0626,,"Ewan Allan Honda (Andrew Allan, also STIHL SHOP Mosgiel)",https://ewanallan.co.nz/pages/stihl-shop,Ewan Allan Honda,,72,Shopify,,,,https://www.facebook.com/p/Ewan-Allan-Honda-Balclutha-100057254688584/,,,balclutha.preview.f925.works,,trades as Ewan Allan Honda · their site scores 72/100,"NEW — only on stihl.co.nz corporate locator (not on stihlshop.co.nz, not in the sheet). Run by Ewan Allan Honda (Gore/Balclutha/Mosgiel/Alexandra Honda dealer); STIHL SHOP is one page on their Shopify site. Hours Mon-Fri 7:30-5:30, Sat 8-12, closed Sun."
4,Multi-brand / shared site,northwood,STIHL SHOP Northwood,Christchurch,Southern,03 974 2469,northwood@stihlshop.co.nz,Will Price,https://stihlshopfosters.co.nz,,Fosters,69,WordPress,,4.5,104,https://www.facebook.com/stihlshopchristchurch,1389,,northwood.preview.f925.works,,branch page on STIHL SHOP Fosters's site · their site scores 69/100,Branch of STIHL SHOP Fosters (Christchurch) — shares stihlshopfosters.co.nz
4,Multi-brand / shared site,oamaru,STIHL SHOP Oamaru,Oamaru,Southern,03 437 1850,oamaru@stihlshop.co.nz,Brad Selfe,https://www.oamaruhonda.co.nz,Oamaru Honda,,45,Magento,2026-03-10,4.7,58,https://www.facebook.com/stihlshopoamaru,1126,https://www.instagram.com/stihlshop_oamaru/,oamaru.preview.f925.works,,trades as Oamaru Honda · their site scores 45/100,Trades as Oamaru Honda — multi-brand (site geo-blocks non-NZ)
4,Multi-brand / shared site,rangiora,STIHL SHOP Rangiora,Rangiora,Southern,03 313 3398,rangiora@stihlshop.co.nz,Aron South,https://stihlshopfosters.co.nz,,Fosters,69,WordPress,,4.6,88,https://www.facebook.com/stihlshopchristchurch,1389,,rangiora.preview.f925.works,,branch page on STIHL SHOP Fosters's site · their site scores 69/100,Branch of STIHL SHOP Fosters (Christchurch) — shares stihlshopfosters.co.nz
4,Multi-brand / shared site,sydenham,STIHL SHOP Sydenham,Sydenham,Southern,03 379 3739,sydenham@stihlshop.co.nz,,https://www.stihlshopferrymead.com,,Ferrymead,57,Wix,,5,43,https://www.facebook.com/stihlshopferrymead,550,,sydenham.preview.f925.works,,branch page on STIHL SHOP Ferrymead's site · their site scores 57/100,"NEW — on stihlshop.co.nz locator, not in the 6-month-old sheet | Branch of STIHL SHOP Ferrymead — shares stihlshopferrymead.com"
4,Multi-brand / shared site,te-anau,STIHL SHOP Te Anau,Te Anau,Southern,03 249 7322,admin@fiordlandmarine.co.nz,Chris McKenzie and Alissa Johnston,https://www.fiordlandmarine.co.nz,Fiordland Marine,,58,Wix,,5,1,https://www.facebook.com/p/Fiordland-Marine-STIHL-SHOP-Te-Anau-100057325815028/,775,,te-anau.preview.f925.works,,trades as Fiordland Marine · their site scores 58/100,Trades as Fiordland Marine
5,On UNIFY,rotorua,STIHL SHOP Rotorua,Rotorua,Central,07 348 6614,rotorua@stihlshop.co.nz,Alan & Phillip Richards,https://stihlshoprotorua.co.nz,,,,,,4.5,88,https://www.facebook.com/StihlShopRotorua,542,,rotorua.preview.f925.works,Closed Won,live on UNIFY,
5,On UNIFY,tauranga,STIHL SHOP Tauranga,Tauranga,Northern,07 577 0747,tauranga@stihlshop.co.nz,Greg & Mike McLarnon,https://stihlshoptauranga.co.nz,,,,,,4.4,63,https://www.facebook.com/Stihl-Shop-Tauranga-315068901980921,358,https://www.instagram.com/stihlshop_tauranga_waihi/,tauranga.preview.f925.works,Closed Won,live on UNIFY,Parts: tauranga.parts@stihlshop.co.nz
5,On UNIFY,waihi,STIHL SHOP Waihi,Waihi,Northern,07 863 8385,stihlshopwaihi@gmail.com,Greg & Siobhan McLarnon,https://stihlshopwaihi.co.nz,,,,,,4.2,31,https://www.facebook.com/p/STIHL-SHOP-Waihi-100062921725861/,,,waihi.preview.f925.works,Closed Won,live on UNIFY,Uses a gmail address
0,Closed,whitianga,STIHL SHOP Whitianga - CURRENTLY CLOSED,Whitianga,Northern,07 866 0211,whitianga@stihlshop.co.nz,,,,,,,,,,,,,whitianga.preview.f925.works,,locator says CURRENTLY CLOSED,"NEW — on stihlshop.co.nz locator, not in the 6-month-old sheet"
